src,02:95,04:20,08:A6,0B:A1,0C:28,12:2E,48:27,80:89,8E:2B,D1:B6,D4:B6,D6:B0,DB:27,DC:19
02:95,0,5,1,4,6,33,14,2,36,2,3,40,7,1
04:20,5,0,5,5,17,2,1,9,1,4,3,5,3,11
08:A6,1,6,0,4,8,8,13,14,3,7,4,4,3,9
0B:A1,4,5,4,0,1,5,12,14,6,3,6,50,1,18
0C:28,7,19,7,2,0,7,8,5,12,1,6,11,7,24
12:2E,33,3,10,5,5,0,3,1,7,15,1,9,10,13
48:27,14,1,13,11,9,4,0,19,5,1,2,13,7,2
80:89,2,9,14,15,6,2,19,0,12,4,7,12,5,2
8E:2B,38,2,3,5,11,7,4,12,0,10,1,3,3,4
D1:B6,2,3,7,3,1,15,1,4,10,0,6,15,1,2
D4:B6,2,2,5,5,5,2,1,6,1,8,0,17,2,1
D6:B0,33,5,4,50,12,9,13,12,3,15,16,0,6,1
DB:27,7,3,4,1,7,10,8,5,2,1,4,6,0,10
DC:19,1,10,9,17,24,12,2,2,4,1,1,1,9,0
